# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6e19921bc60
# CUDA_DEVICE 0 Tesla C1060
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,gld_32b,gld_64b,gld_128b,gst_32b,gst_64b,gst_128b,gld_request,gst_request,tex_cache_hit,tex_cache_miss
123a81532fecf280,memcpyDtoH,4.032,46,,,,,,,,,,,0,0,4,0
123a81532fed8e20,_Z12jacobikernelPfS_S_iifff,25.696,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fee01a0,_Z15reductionkernelPfi,4.128,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fee2960,memcpyDtoH,3.936,46,,,,,,,,,,,0,0,4,0
123a81532fef0aa0,_Z12jacobikernelPfS_S_iifff,25.504,5,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4149,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fef7d80,_Z15reductionkernelPfi,4.192,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fefa580,memcpyDtoH,3.968,43,,,,,,,,,,,0,0,4,0
123a81532ff049a0,_Z12jacobikernelPfS_S_iifff,25.632,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532ff0bd40,_Z15reductionkernelPfi,4.032,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532ff0e4a0,memcpyDtoH,3.936,47,,,,,,,,,,,0,0,4,0
123a81532ff17cc0,_Z12jacobikernelPfS_S_iifff,25.856,5,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532ff1f100,_Z15reductionkernelPfi,4.16,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532ff218e0,memcpyDtoH,3.936,46,,,,,,,,,,,0,0,4,0
123a81532ff2b3a0,_Z12jacobikernelPfS_S_iifff,25.696,5,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4149,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532ff32720,_Z15reductionkernelPfi,4.064,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532ff34e60,memcpyDtoH,3.968,46,,,,,,,,,,,0,0,4,0
123a81532ff3e600,_Z12jacobikernelPfS_S_iifff,25.6,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532ff45920,_Z15reductionkernelPfi,4.16,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532ff48140,memcpyDtoH,3.968,46,,,,,,,,,,,0,0,4,0
123a81532ff51e20,_Z12jacobikernelPfS_S_iifff,25.792,5,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532ff59220,_Z15reductionkernelPfi,4.128,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532ff5b9e0,memcpyDtoH,3.968,46,,,,,,,,,,,0,0,4,0
123a81532ff65600,_Z12jacobikernelPfS_S_iifff,25.6,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4149,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532ff6c940,_Z15reductionkernelPfi,4.16,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532ff6f160,memcpyDtoH,4,47,,,,,,,,,,,0,0,4,0
123a81532ff78ce0,_Z12jacobikernelPfS_S_iifff,25.856,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532ff80100,_Z15reductionkernelPfi,4.064,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532ff82860,memcpyDtoH,3.936,42,,,,,,,,,,,0,0,4,0
123a81532ff8c720,_Z12jacobikernelPfS_S_iifff,25.568,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532ff93a60,_Z15reductionkernelPfi,4.16,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532ff96220,memcpyDtoH,3.968,47,,,,,,,,,,,0,0,4,0
123a81532ff9fe40,_Z12jacobikernelPfS_S_iifff,25.568,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4149,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532ffa7140,_Z15reductionkernelPfi,4.096,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532ffa9940,memcpyDtoH,4.064,47,,,,,,,,,,,0,0,4,0
123a81532ffb3200,_Z12jacobikernelPfS_S_iifff,25.632,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532ffba560,_Z15reductionkernelPfi,4.128,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532ffbcd20,memcpyDtoH,3.968,46,,,,,,,,,,,0,0,4,0
123a81532ffc6840,_Z12jacobikernelPfS_S_iifff,25.376,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532ffcdac0,_Z15reductionkernelPfi,4.096,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532ffd0260,memcpyDtoH,3.968,46,,,,,,,,,,,0,0,4,0
123a81532ffd9c80,_Z12jacobikernelPfS_S_iifff,25.44,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4149,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532ffe0f00,_Z15reductionkernelPfi,4.16,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532ffe36c0,memcpyDtoH,3.968,46,,,,,,,,,,,0,0,4,0
123a81532ffed120,_Z12jacobikernelPfS_S_iifff,25.6,4,0.75,8,8,1,16,16,1,0,1084,17,0,-1,,0,456,3,4141,0,7,0,1638,0,798,0,0,560,560,518,63,56,56,240,27,0,0
123a81532fff4460,_Z15reductionkernelPfi,4.096,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,4,0,2,0,0,0,4,0,1,0,0,8,1,0,0
123a81532fff6e40,memcpyDtoH,3.968,47,,,,,,,,,,,0,0,4,0
