# CUDA_PROFILE_LOG_VERSION 2.0
# CUDA_PROFILE_CSV 1
# TIMESTAMPFACTOR fffff6e19a4fc370
# CUDA_DEVICE 0 Tesla C1060
gpustarttimestamp,method,gputime,cputime,occupancy,gridSizeX,gridSizeY,gridSizeZ,blockSizeX,blockSizeY,blockSizeZ,dynSmemPerBlock,staSmemPerBlock,registerPerThread,streamID,localblocksize,memTransferSize,memtransferhostmemtype,branch,divergent_branch,instructions,warp_serialize,cta_launched,gld_incoherent,gld_coherent,gst_incoherent,gst_coherent,local_load,local_store,gld_32b,gld_64b,gld_128b,gst_32b,gst_64b,gst_128b,gld_request,gst_request,tex_cache_hit,tex_cache_miss
123a808153ecdca0,_Z12jacobikernelPfS_S_iifff,11.232,4,0.75,5,5,1,16,16,1,0,1084,17,0,-1,,0,152,1,1386,0,3,0,702,0,342,0,0,240,240,222,27,24,24,80,9,0,0
123a808153ed17a0,_Z15reductionkernelPfi,4.096,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,2,0,2,0,0,0,2,0,1,0,0,8,1,0,0
123a808153ed3f20,memcpyDtoH,4.064,32,,,,,,,,,,,0,0,4,0
123a808153edd7c0,_Z12jacobikernelPfS_S_iifff,11.68,4,0.75,5,5,1,16,16,1,0,1084,17,0,-1,,0,152,1,1386,0,3,0,702,0,342,0,0,240,240,222,27,24,24,80,9,0,0
123a808153ee1480,_Z15reductionkernelPfi,4.032,4,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,2,0,2,0,0,0,2,0,1,0,0,8,1,0,0
123a808153ee3ba0,memcpyDtoH,3.968,32,,,,,,,,,,,0,0,4,0
123a808153eeda00,_Z12jacobikernelPfS_S_iifff,11.264,4,0.75,5,5,1,16,16,1,0,1084,17,0,-1,,0,152,1,1391,0,3,0,702,0,342,0,0,240,240,222,27,24,24,80,9,0,0
123a808153ef1660,_Z15reductionkernelPfi,4.064,3,0.25,1,1,1,256,1,1,0,1052,8,0,-1,,0,160,1,794,0,1,0,2,0,2,0,0,0,2,0,1,0,0,8,1,0,0
123a808153ef3de0,memcpyDtoH,3.968,34,,,,,,,,,,,0,0,4,0
123a808153efd700,_Z12jacobikernelPfS_S_iifff,11.52,4,0.75,5,5,1,16,16,1,0,1084,17,0,-1,,0,152,1,1386,0,3,0,702,0,342,0,0,240,240,222,27,24,24,80,9,0,0
